price,color,cut,clarity,carat_size
8584,J,Ideal,IF,3.550341361761093
8394,K,Good,SI1,4.685314460843801
5056,G,Ideal,VS2,3.2291353713721036
5491,H,Very Good,IF,4.43516556173563
1808,G,Very Good,VS1,3.52797821611166
8631,J,Ideal,IF,4.50571475327015
2828,G,Good,VS2,1.589406070485711
7459,K,Ideal,VVS1,4.126749814674258
1691,K,Excellent,IF,4.576897916197777
1640,F,Very Good,VVS1,2.1338431742042303
8768,G,Good,IF,1.485653244704008
6091,E,Excellent,SI2,1.8080293677747248
5100,E,Very Good,VS2,2.176129800826311
3305,D,Very Good,SI1,4.193675196543336
6038,F,Good,VS1,1.056303032115102
5402,J,Ideal,VS2,4.037514752522111
2903,F,Ideal,IF,3.2450609974563123
6600,H,Good,SI2,0.809384001046419
3471,J,Good,VS2,3.2380808580666782
9924,H,Excellent,VVS1,2.924643373116851
3712,K,Excellent,VS1,2.6399703357368707
4511,H,Good,IF,3.0521135594695807
3082,I,Excellent,IF,3.4877212002873423
6016,D,Good,VS1,2.3053322918713093
7924,I,Excellent,SI1,4.133156182616949
4394,I,Very Good,VS2,1.2753866501152515
8880,G,Good,VVS2,1.0770855184644461
3820,G,Good,SI1,4.501869791001082
2465,G,Good,SI1,1.189102929830551
3799,H,Good,VS2,4.870324357226491
3139,F,Excellent,VS1,3.466133114695549
2801,I,Very Good,VVS2,3.567200307175517
2880,G,Good,VS2,1.261675551906228
5134,F,Excellent,VS1,1.2840491525828837
2542,K,Good,VS2,0.3633465670049191
9897,H,Excellent,IF,0.5385830748826266
8867,K,Excellent,VVS1,0.550355764105916
3672,G,Ideal,SI2,2.885979560390115
5873,G,Excellent,VS1,3.204531056806445
5856,F,Ideal,VS1,4.731406710669399
1981,E,Excellent,VS2,2.5327821847051384
1458,K,Very Good,SI2,3.40423946082592
7552,H,Good,VS2,4.194427713751793
4567,E,Good,SI2,4.9455389462411405
4684,K,Good,VVS1,3.8784510273486377
6953,F,Excellent,VS2,3.913868162408471
7055,G,Good,SI2,2.1631043925881386
3991,G,Excellent,VVS1,3.3636516939848664
2716,J,Excellent,SI1,1.3061987251043319
8060,H,Ideal,SI1,2.1182618331164123
3425,G,Very Good,SI2,3.577376310899854
2145,H,Very Good,VS1,2.2649903796613216
3090,D,Excellent,IF,0.38105217516422274
6167,G,Excellent,IF,4.539684189483523
5874,G,Ideal,SI2,4.9178574740886685
6709,J,Good,IF,4.080410392582416
4180,F,Excellent,VVS1,4.68987054489553
7306,K,Excellent,VVS2,2.558386241272092
7292,I,Ideal,VS1,4.685173216834665
1305,J,Good,VS2,1.9333203062415123
5801,F,Ideal,VS2,4.886704973131418
3470,I,Good,SI2,4.7676982101053
9224,E,Very Good,VVS2,1.5690787281841039
4314,H,Ideal,SI2,0.2358254209160805
9218,I,Very Good,VVS2,1.1037637282162904
2759,D,Ideal,SI2,4.645878112688661
5854,I,Good,VVS2,0.2949838139116764
7942,D,Excellent,SI1,3.0963578332215547
5021,J,Very Good,VVS2,3.4105444725602867
2998,I,Excellent,SI1,2.367002896592021
2671,J,Very Good,SI1,1.9875410832464695
9654,H,Good,VVS1,4.309547078609467
9491,I,Good,IF,4.277235002815724
3308,I,Very Good,SI1,2.864652335271239
5861,F,Good,VS1,4.750197188556195
2549,J,Excellent,VVS1,1.544354398176074
1695,F,Ideal,VS1,4.708775971084833
2700,G,Ideal,VVS2,4.5931681334972385
1695,K,Excellent,SI2,3.2442268706858157
8362,E,Ideal,VVS1,4.960991379246115
6260,F,Ideal,IF,2.2812889400869607
4274,K,Good,VVS1,2.5167164880782367
4550,G,Ideal,IF,1.2352316834032535
